Family_id,Total_members,Ancient,Euteleostomi,Amniotes,Placentals,Recent,Ohnologs,SSDs,Dominant,Recessive,Both,Unknown,None,Family_Root
Singleton,6711,0.283862315601252,0.0871703173893607,0.0900014900908955,0.0634778721502012,0.0523021904336165,0.00849351810460438,0,0.019967218000298,0.0783787811056474,0.00834450901504992,0.281776188347489,0.611533303531515,Singleton
1,34,0.470588235294118,0.323529411764706,0.205882352941176,0,0,0.470588235294118,0.529411764705882,0.0294117647058824,0.0588235294117647,0.0588235294117647,0.617647058823529,0.235294117647059,Bilateria
10,7,0.571428571428571,0.142857142857143,0.285714285714286,0,0,0.285714285714286,0.714285714285714,0,0,0.142857142857143,0.857142857142857,0,Opisthokonta
100,26,0,0.307692307692308,0.423076923076923,0.192307692307692,0.0384615384615385,0,1,0.0769230769230769,0.269230769230769,0.0769230769230769,0.461538461538462,0.115384615384615,Vertebrata
1000,2,1,0,0,0,0,1,0,0,0,0,1,0,Vertebrata
10014,2,0.5,0.5,0,0,0,0,1,0.5,0,0,0.5,0,LECA
1002,15,0.0666666666666667,0.333333333333333,0.4,0.133333333333333,0.0666666666666667,0.333333333333333,0.666666666666667,0,0.133333333333333,0,0.8,0.0666666666666667,Bilateria
1003,3,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0.666666666666667,Vertebrata
10032,2,1,0,0,0,0,0,1,0,0,0,1,0,LECA
10036,3,0,0,0,0,0,0,1,0,0,0,0,1,Homo sapiens
10038,3,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0,0,0,0.666666666666667,0.333333333333333,LECA
1004,3,0.666666666666667,0.333333333333333,0,0,0,0,1,0,0.333333333333333,0,0,0.666666666666667,Bilateria
10049,2,0,0,0,0,0,0,1,0,0,0,0,1,Homo sapiens
1005,17,0.0588235294117647,0.0588235294117647,0.117647058823529,0.470588235294118,0.294117647058824,0,1,0.117647058823529,0.235294117647059,0,0.588235294117647,0.0588235294117647,Opisthokonta
10051,3,0,0,0,0,0.666666666666667,0,1,0,0,0,0,1,Homininae
10056,3,0,0,0,0,0.666666666666667,0,1,0,0,0,0.333333333333333,0.666666666666667,Homininae
1006,10,0.9,0.1,0,0,0,0,1,0.2,0.4,0,0.3,0.1,Opisthokonta
10060,2,0,1,0,0,0,0,1,0,0.5,0,0.5,0,Bilateria
1008,3,0,1,0,0,0,0,1,0,0,0,1,0,Gnathostomata
10087,2,0,0,0,0,1,0,1,0,0,0,0.5,0.5,Theria
1009,3,0.666666666666667,0,0,0.333333333333333,0,1,0,0.666666666666667,0,0,0.333333333333333,0,Vertebrata
10094,3,0,0,0,1,0,0,1,0,0,0,0.666666666666667,0.333333333333333,Eutheria
