Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.Unknown,C,0.004.0.0077
Recessive.Unknown,C,0.0013.0.0028
Unknown.Unknown,NA,0.0.0014
Unknown.Unknown,NA,0.0006.0.0179
Unknown.Unknown,C,0.0.0035
Unknown.Unknown,C,0.0005.0.0018
Dominant.Unknown,C,0.0.0244
Unknown.None,C,0.002.0.006
Dominant.Unknown,C,0.0016.0.0056
None.None,C,0.0088.0.0314
None.None,C,0.0.0008
Unknown.Unknown,D,0.0019.0.0041
Unknown.Unknown,D,0.0015.0.0128
Recessive.Unknown,D,0.0.0029
Unknown.Unknown,C,0.0.0058
Unknown.Unknown,D,0.0.0523
Dominant.Unknown,C,0.0.001
Unknown.Dominant,D,0.0011.0.0022
Recessive.Recessive,C,0.001.0.0024
Dominant.Unknown,C,0.0075.0.0182
Dominant.Unknown,C,0.004.0.0083
None.Recessive,C,0.0049.0.0314
Unknown.Unknown,C,0.0.0022
Unknown.Unknown,C,0.0006.0.0011
None.Unknown,NA,0.0.0029
Dominant.Unknown,C,0.0.0033
None.Unknown,D,0.0024.0.004
Unknown.Unknown,C,0.0012.0.0052
Unknown.Recessive,D,0.0.008
Dominant.Unknown,D,0.0004.0.0023
None.Unknown,D,0.0029.0.0032
Unknown.Unknown,C,0.0.0007
Unknown.Unknown,C,0.0023.0.0035
Unknown.Dominant,D,0.0.0029
Both.Unknown,C,0.0025.0.0028
Dominant.Unknown,C,0.0013.0.0047
Dominant.Both,D,0.0015.0.0027
None.Unknown,C,0.0005.0.0007
Unknown.Unknown,C,0.0017.0.0047
Dominant.Unknown,C,0.001.0.0054
Recessive.Dominant,D,0.0008.0.0175
Unknown.Unknown,D,0.0009.0.002
Unknown.None,C,0.0029.0.0066
Unknown.Dominant,D,0.0026.0.0179
Unknown.Dominant,C,0.0355.0.067
Recessive.Unknown,D,0.0011.0.003
None.Both,D,0.0039.0.0339
Unknown.Recessive,C,0.0012.0.0616
Unknown.Unknown,C,0.0.1103
Unknown.Unknown,D,0.0.0025
None.Unknown,C,0.0051.0.0093
Unknown.Unknown,NA,0.0003.0.0009
Unknown.Unknown,D,0.0007.0.004
Recessive.Unknown,C,0.0007.0.003
Unknown.Recessive,C,0.0.0066
Unknown.Dominant,NA,0.0077.0.0101
Both.Unknown,C,0.0.0289
Dominant.Recessive,D,0.0008.0.0031
Unknown.None,NA,0.0063.0.0279
Unknown.Unknown,C,0.0011.0.1819
Dominant.Unknown,C,0.0.0037
Recessive.Unknown,C,0.0013.0.0041
Unknown.Unknown,D,0.0.0013
None.Unknown,D,0.0025.0.004
None.Unknown,D,0.0019.0.0021
Unknown.Unknown,D,0.0.0011
Unknown.Unknown,C,0.0045.0.0046
Dominant.Unknown,C,0.0017.0.0135
None.Dominant,C,0.0009.0.002
Unknown.Recessive,C,0.0.0022
Both.Unknown,C,0.0007.0.0036
Unknown.Unknown,D,0.0197.0.0344
Unknown.Unknown,C,0.0008.0.0281
Unknown.Unknown,D,0.0006.0.0023
Dominant.Unknown,C,0.0022.0.0041
Dominant.Dominant,D,0.0.036
Both.Both,D,0.0.0028
Unknown.Unknown,C,0.0.0007
Unknown.Unknown,C,0.0006.0.0018
Unknown.Unknown,D,0.0063.0.0081
Unknown.Unknown,D,0.0023.0.003
Unknown.Recessive,C,0.0005.0.0253
Unknown.Unknown,C,0.0027.0.0056
Dominant.Unknown,C,0.0009.0.0029
Dominant.Dominant,D,0.0065.0.0196
Unknown.Unknown,D,0.0.0011
Dominant.Dominant,C,0.0012.0.0025
Unknown.Unknown,C,0.0.0053
Dominant.Unknown,C,0.0016.0.0017
Unknown.Recessive,C,0.0042.0.0314
