Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
1,Bilateria,29,6,4,5,14,15,0
10,Opisthokonta,6,0,1,0,5,1,0
100,Vertebrata,24,1,0,3,20,4,1
1000,Vertebrata,2,0,0,1,1,1,0
10014,LECA,2,0,1,0,1,1,1
1002,Bilateria,14,0,4,1,9,5,0
10032,LECA,2,0,0,0,2,0,0
10036,Homo sapiens,2,0,0,0,2,0,0
10038,LECA,3,0,0,0,3,0,1
1004,Bilateria,3,1,0,0,2,1,0
1005,LECA,14,0,2,0,12,2,0
10051,Homininae,2,0,1,0,1,1,0
10056,Homininae,2,0,0,0,2,0,0
1006,LECA,8,0,4,3,1,7,1
1008,Gnathostomata,3,0,2,1,0,3,1
1009,Vertebrata,3,1,1,1,0,3,1
10094,Eutheria,2,0,0,1,1,1,0
10099,LECA,3,1,0,0,2,1,0
101,LECA,11,2,1,0,8,3,0
1010,LECA,4,0,0,0,4,0,0
1011,LECA,4,1,0,1,2,2,1
10114,Chordata,2,0,0,0,2,0,0
1016,Gnathostomata,4,0,0,1,3,1,0
10167,Gnathostomata,2,1,0,1,0,2,0
10181,Eutheria,2,0,1,0,1,1,1
1019,Vertebrata,2,1,0,1,0,2,0
102,LECA,5,0,0,0,5,0,0
1020,Chordata,3,0,1,1,1,2,0
10226,Gnathostomata,2,0,1,0,1,1,0
1024,Vertebrata,2,0,0,0,2,0,0
10244,Euteleostomi,2,1,1,0,0,2,0
1025,LECA,13,2,1,2,8,5,1
10253,Mammalia,2,0,0,0,2,0,0
10261,Gnathostomata,2,0,0,0,2,0,0
1028,Bilateria,16,1,1,3,11,5,0
10283,Euteleostomi,22,3,0,1,18,4,0
1029,Vertebrata,2,1,0,0,1,1,0
10298,Vertebrata,2,0,0,1,1,1,0
103,LECA,66,8,8,15,35,31,3
1032,LECA,3,0,1,0,2,1,0
1033,LECA,5,1,1,1,2,3,0
1034,LECA,4,0,1,2,1,3,1
10342,Bilateria,2,0,0,0,2,0,0
10353,LECA,4,1,0,1,2,2,0
1037,Vertebrata,3,1,1,0,1,2,0
10377,LECA,2,0,1,0,1,1,0
1038,LECA,2,0,0,1,1,1,0
10381,Homininae,2,0,0,0,2,0,0
104,LECA,35,6,7,1,21,14,3
1042,LECA,18,0,2,0,16,2,0
1043,LECA,7,1,1,0,5,2,1
1044,LECA,2,0,0,0,2,0,0
1046,LECA,4,1,0,0,3,1,0
1047,Opisthokonta,4,0,1,0,3,1,0
1048,LECA,3,0,0,0,3,0,0
1049,Bilateria,5,1,1,0,3,2,0
10506,Gnathostomata,2,0,0,0,2,0,0
1051,LECA,3,2,0,1,0,3,0
1055,Bilateria,3,0,1,0,2,1,0
1059,Bilateria,13,0,2,2,9,4,2
10593,LECA,2,0,0,0,2,0,0
106,Bilateria,4,0,0,0,4,0,0
1060,LECA,23,3,2,6,12,11,1
1062,LECA,3,0,0,2,1,2,0
10624,LECA,2,0,2,0,0,2,0
1064,Gnathostomata,2,0,0,1,1,1,0
10648,Bilateria,2,1,0,0,1,1,0
10652,LECA,3,3,0,0,0,3,0
10697,LECA,2,0,0,0,2,0,1
107,LECA,3,0,1,0,2,1,0
10701,LECA,2,0,0,2,0,2,0
10705,Chordata,2,0,0,0,2,0,0
1071,Bilateria,3,0,0,0,3,0,0
1073,LECA,11,1,2,2,6,5,0
1074,LECA,6,1,2,0,3,3,0
10763,LECA,2,0,0,0,2,0,0
10781,Catarrhini,3,0,0,0,3,0,0
1079,Bilateria,9,0,3,2,4,5,0
10797,Opisthokonta,2,0,1,1,0,2,1
108,LECA,5,1,2,1,1,4,1
1083,Chordata,2,0,0,0,2,0,0
10833,LECA,2,0,1,0,1,1,0
1084,LECA,3,0,1,0,2,1,0
10850,Gnathostomata,2,1,0,0,1,1,0
10854,Mammalia,2,0,0,1,1,1,0
1086,Bilateria,3,1,0,0,2,1,0
1087,LECA,2,0,1,0,1,1,0
10878,Vertebrata,2,0,0,0,2,0,0
10880,Vertebrata,2,0,1,0,1,1,0
10897,Opisthokonta,3,0,1,0,2,1,0
109,LECA,29,2,3,0,24,5,0
1090,LECA,4,2,0,1,1,3,1
10902,LECA,2,0,0,0,2,0,0
10906,Vertebrata,2,2,0,0,0,2,0
1092,Vertebrata,2,0,1,0,1,1,0
1093,Gnathostomata,2,0,0,1,1,1,0
10939,Amniota,2,0,0,1,1,1,0
1094,LECA,3,0,0,1,2,1,0
10950,LECA,2,0,0,0,2,0,0
