Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.2,C,HSS.HSS,redundant.redundant,0.004.0.0077
4.1,C,HSS.HSS,redundant.redundant,0.0013.0.0028
4.4,NA,HSS.HSS,redundant.intermittent,0.0.0014
1.3,NA,HSS.HSS,redundant.intermittent,0.0006.0.0179
4.3,C,HSS.HSS,redundant.redundant,0.0005.0.0018
4.1,C,HSS.HSS,critical.redundant,0.0.0244
2.4,C,HSS.HSS,redundant.redundant,0.0016.0.0056
4.2,C,HSS.HSS,redundant.redundant,0.0088.0.0314
4.4,C,HSS.HSS,intermittent.redundant,0.0.0008
4.4,D,HSS.HSS,redundant.redundant,0.0019.0.0041
4.4,D,Strict.HSS,redundant.redundant,0.0015.0.0128
4.4,D,HSS.Intermediate,redundant.redundant,0.0.0029
3.4,C,HSS.Intermediate,redundant.redundant,0.0.0058
4.4,D,HSS.HSS,redundant.redundant,0.0.0523
4.1,D,HSS.HSS,redundant.redundant,0.0011.0.0022
4.4,C,HSS.HSS,redundant.redundant,0.001.0.0024
2.4,C,HSS.HSS,redundant.redundant,0.0075.0.0182
4.4,C,HSS.HSS,intermittent.redundant,0.004.0.0083
4.2,C,HSS.Strict,redundant.redundant,0.0049.0.0314
3.4,C,HSS.HSS,redundant.redundant,0.0.0022
1.4,C,HSS.HSS,redundant.redundant,0.0.0033
4.2,D,HSS.HSS,redundant.redundant,0.0024.0.004
4.4,D,HSS.HSS,redundant.redundant,0.0.008
4.4,D,HSS.HSS,redundant.redundant,0.0004.0.0023
4.4,D,Strict.HSS,redundant.redundant,0.0029.0.0032
4.2,C,HSS.HSS,redundant.redundant,0.0.0007
1.4,C,HSS.HSS,redundant.intermittent,0.0023.0.0035
4.4,D,HSS.HSS,redundant.redundant,0.0.0029
3.2,C,HSS.HSS,redundant.redundant,0.0025.0.0028
4.4,C,HSS.HSS,critical.intermittent,0.0013.0.0047
1.4,D,HSS.HSS,intermittent.redundant,0.0015.0.0027
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.0007
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.0047
4.1,C,HSS.Strict,redundant.redundant,0.001.0.0054
1.3,D,Strict.HSS,redundant.intermittent,0.0008.0.0175
2.4,D,HSS.HSS,redundant.intermittent,0.0009.0.002
4.4,C,HSS.HSS,critical.redundant,0.0029.0.0066
4.4,D,HSS.HSS,redundant.redundant,0.0026.0.0179
4.1,C,HSS.HSS,redundant.redundant,0.0355.0.067
2.4,D,HSS.HSS,redundant.redundant,0.0011.0.003
4.4,D,HSS.HSS,redundant.critical,0.0039.0.0339
4.4,C,HSS.HSS,redundant.redundant,0.0012.0.0616
4.2,C,HSS.HSS,intermittent.redundant,0.0.1103
4.4,D,HSS.HSS,intermittent.redundant,0.0.0025
4.1,NA,HSS.HSS,redundant.redundant,0.0003.0.0009
2.4,D,HSS.HSS,intermittent.redundant,0.0007.0.004
4.3,C,HSS.HSS,redundant.redundant,0.0007.0.003
4.4,C,HSS.HSS,intermittent.redundant,0.0.0066
2.4,C,HSS.HSS,intermittent.intermittent,0.0.0289
4.3,D,HSS.HSS,redundant.redundant,0.0008.0.0031
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.1819
4.1,C,HSS.HSS,redundant.redundant,0.0.0037
4.2,C,HSS.HSS,redundant.intermittent,0.0013.0.0041
3.4,D,HSS.Strict,intermittent.intermittent,0.0.0013
1.4,D,HSS.HSS,redundant.redundant,0.0025.0.004
4.2,D,HSS.Intermediate,redundant.redundant,0.0019.0.0021
4.4,D,HSS.HSS,redundant.redundant,0.0.0011
4.2,C,HSS.HSS,redundant.redundant,0.0045.0.0046
2.4,C,HSS.HSS,redundant.redundant,0.0017.0.0135
4.4,C,HSS.HSS,redundant.critical,0.0009.0.002
4.4,C,HSS.HSS,intermittent.redundant,0.0.0022
4.1,C,HSS.HSS,redundant.redundant,0.0007.0.0036
