Gene_ID,AGE_OF_ROOT,FAMILY
ENSG00000000003,Bilateria,1
ENSG00000000005,Gnathostomata,2
ENSG00000000419,Opisthokonta,3
ENSG00000000457,LECA,4
ENSG00000000938,LECA,5
ENSG00000000971,LECA,6
ENSG00000001036,Vertebrata,7
ENSG00000001460,LECA,8
ENSG00000001461,LECA,9
ENSG00000001561,Opisthokonta,10
ENSG00000001617,LECA,11
ENSG00000001626,LECA,12
ENSG00000001629,LECA,13
ENSG00000001631,Bilateria,14
ENSG00000002549,LECA,15
ENSG00000002586,Euteleostomi,16
ENSG00000002587,LECA,17
ENSG00000002726,Gnathostomata,18
ENSG00000002745,Bilateria,19
ENSG00000002746,LECA,20
ENSG00000002834,LECA,21
ENSG00000002919,LECA,22
ENSG00000002933,Mammalia,23
ENSG00000003096,LECA,24
ENSG00000003137,LECA,25
ENSG00000003147,Vertebrata,26
ENSG00000003249,Bilateria,27
ENSG00000003393,LECA,28
ENSG00000003400,Bilateria,29
ENSG00000003402,Bilateria,29
ENSG00000003436,Bilateria,31
ENSG00000003756,LECA,32
ENSG00000003987,LECA,33
ENSG00000003989,Opisthokonta,34
ENSG00000004059,LECA,35
ENSG00000004142,LECA,36
ENSG00000004399,LECA,37
ENSG00000004455,LECA,38
ENSG00000004468,Euteleostomi,39
ENSG00000004478,LECA,40
ENSG00000004487,LECA,41
ENSG00000004534,LECA,32
ENSG00000004660,LECA,43
ENSG00000004700,LECA,44
ENSG00000004776,Bilateria,45
ENSG00000004777,LECA,46
ENSG00000004779,LECA,47
ENSG00000004799,LECA,48
ENSG00000004809,LECA,49
ENSG00000004838,LECA,50
ENSG00000004846,LECA,51
ENSG00000004848,LECA,52
ENSG00000004864,LECA,53
ENSG00000004866,Gnathostomata,54
ENSG00000004897,LECA,55
ENSG00000004939,LECA,56
ENSG00000004948,LECA,57
ENSG00000004975,LECA,58
ENSG00000005001,LECA,59
ENSG00000005007,LECA,60
ENSG00000005020,LECA,61
ENSG00000005022,LECA,53
ENSG00000005059,LECA,63
ENSG00000005073,LECA,64
ENSG00000005075,LECA,65
ENSG00000005100,LECA,66
ENSG00000005102,LECA,67
ENSG00000005108,LECA,68
ENSG00000005156,LECA,69
ENSG00000005175,LECA,70
ENSG00000005187,LECA,71
ENSG00000005189,LECA,72
ENSG00000005206,LECA,73
ENSG00000005238,Vertebrata,74
ENSG00000005243,LECA,75
ENSG00000005249,LECA,76
ENSG00000005302,LECA,77
ENSG00000005339,LECA,78
ENSG00000005379,LECA,79
ENSG00000005381,LECA,80
ENSG00000005421,Theria,81
ENSG00000005436,Gnathostomata,82
ENSG00000005448,LECA,83
ENSG00000005469,LECA,84
ENSG00000005471,LECA,51
ENSG00000005483,Opisthokonta,86
ENSG00000005486,Chordata,87
ENSG00000005513,LECA,88
ENSG00000005801,LECA,89
ENSG00000005810,LECA,90
ENSG00000005812,LECA,91
ENSG00000005844,LECA,92
ENSG00000005882,LECA,48
ENSG00000005884,LECA,92
ENSG00000005889,LECA,95
ENSG00000005893,Chordata,96
ENSG00000005961,LECA,92
ENSG00000005981,Opisthokonta,98
ENSG00000006007,LECA,99
ENSG00000006016,Vertebrata,100
ENSG00000006025,LECA,101
ENSG00000006047,LECA,102
ENSG00000006059,LECA,103
ENSG00000006062,LECA,104
ENSG00000006071,LECA,12
ENSG00000006116,Bilateria,106
ENSG00000006118,LECA,107
ENSG00000006125,LECA,108
ENSG00000006194,LECA,109
ENSG00000006210,Gnathostomata,110
ENSG00000006283,LECA,111
ENSG00000006377,LECA,112
ENSG00000006432,LECA,113
ENSG00000006451,LECA,114
ENSG00000006453,Vertebrata,115
ENSG00000006459,LECA,116
ENSG00000006468,Bilateria,117
ENSG00000006530,LECA,118
ENSG00000006534,LECA,119
ENSG00000006576,Vertebrata,120
ENSG00000006606,Gnathostomata,110
ENSG00000006607,Opisthokonta,122
ENSG00000006611,LECA,123
ENSG00000006625,LECA,124
ENSG00000006634,LECA,125
ENSG00000006638,Bilateria,126
ENSG00000006652,Vertebrata,127
ENSG00000006659,LECA,128
ENSG00000006695,Opisthokonta,129
ENSG00000006704,Bilateria,130
ENSG00000006740,Bilateria,131
ENSG00000006744,LECA,132
ENSG00000006747,LECA,133
ENSG00000006756,Bilateria,134
ENSG00000006757,Bilateria,135
ENSG00000006788,LECA,136
ENSG00000006831,LECA,137
ENSG00000006837,LECA,138
ENSG00000007001,Bilateria,139
ENSG00000007038,LECA,59
ENSG00000007047,LECA,141
ENSG00000007062,Chordata,142
ENSG00000007129,Vertebrata,143
ENSG00000007168,LECA,144
ENSG00000007171,LECA,145
ENSG00000007174,LECA,146
ENSG00000007216,Bilateria,147
ENSG00000007237,LECA,148
