Gene_ID,Uniprot_ID,Gene_symbol,Aproved_gene_name,ENS_Gene_id,Ortho_Age,Paralog_status,Haplosufficiency_Rank,Disease_Association,Family_Root,Family_ID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,control.category,Degree,Eccentricity,MDS,NeighborhoodConnectivity,Radiality,Stress,TopologicalCoefficient,VIP_type
1,A1BG_HUMAN,A1BG,A1BG,ENSG00000121410,96,SSD,90.38,None,Tetrapoda,1461,2.96737983,3.02E-05,0.33699764,0.03162055,intermittent,23,5,FALSE,146.7826087,0.75407752,384376,0.06335242,NA
2,A2MG_HUMAN,A2M,A2M,ENSG00000175899,158,SSD,49.36,None,Bilateria,2732,2.58243957,0.000978,0.38723075,0.03568512,intermittent,157,5,FALSE,115.4394905,0.80219505,10427806,0.01496538,Multi
9,ARY1_HUMAN,NAT1,NAT1,ENSG00000171428,435,SSD,59.87,None,Boreoeutheria,7849,3.29974993,1.00E-08,0.30305327,0,intermittent,2,6,FALSE,379.5,0.71253126,640,0.53385049,NA
10,ARY2_HUMAN,NAT2,NAT2,ENSG00000156006,435,SSD,80.21,None,Boreoeutheria,7849,2.84162267,6.98E-06,0.35191161,0.12121212,intermittent,22,6,FALSE,245.8181818,0.76979717,127332,0.0622695,DNA
12,AACT_HUMAN,SERPINA3,SERPINA3,ENSG00000196136,158,SSD,97.04,None,LECA,339,2.85468186,0.000126,0.35030173,0.01282051,intermittent,40,6,FALSE,121.45,0.76816477,1056250,0.03226302,NA
14,AAMP_HUMAN,AAMP,AAMP,ENSG00000127837,796,SSD,18.04,None,LECA,4734,2.78288413,3.39E-05,0.35933943,0.04836415,intermittent,38,5,FALSE,215.8947368,0.77713948,469734,0.04601472,NA
15,SNAT_HUMAN,AANAT,AANAT,ENSG00000129673,435,Singleton,74.21,None,Singleton,0,3.05779383,1.33E-06,0.32703317,0.1,intermittent,5,6,FALSE,319.4,0.74277577,20162,0.22062284,NA
16,SYAC_HUMAN,AARS1,AARS1,ENSG00000090861,796,SSD,NA,None,LECA,1570,2.58577383,2.89E-05,0.38673143,0.21812596,intermittent,63,5,FALSE,433.5873016,0.80177827,801142,0.05508669,RNA
18,GABT_HUMAN,ABAT,ABAT,ENSG00000183044,796,SSD,41.04,None,Opisthokonta,749,2.87096416,4.08E-05,0.34831504,0.09090909,intermittent,11,5,FALSE,409.1818182,0.76612948,365670,0.11322085,DNA
19,ABCA1_HUMAN,ABCA1,ABCA1,ENSG00000165029,176,Ohnolog,9.43,None,LECA,731,2.73375938,0.000203,0.36579664,0.04091175,intermittent,59,5,FALSE,170.0169492,0.78328008,2296028,0.03157245,Multi
