Gene_id,Taxon_between,Type,Taxonomic_level,is_high_confidence,is_tree_compliant,GOC_score,WGA_coverage
ENSG00000164404,H.sap-P.pan orthologues,ortholog_one2one,Homininae,1,1,100,100.00
ENSG00000164404,H.sap-P.tro orthologues,ortholog_one2many,Homininae,1,1,100,100.00
ENSG00000164404,H.sap-P.tro orthologues,ortholog_one2many,Homininae,1,1,100,100.00
ENSG00000164404,H.sap-G.gor orthologues,ortholog_one2one,Homininae,1,1,100,100.00
ENSG00000164404,P.abe-H.sap orthologues,ortholog_one2one,Hominidae,1,1,100,100.00
ENSG00000164404,H.sap-N.leu orthologues,ortholog_one2one,Hominoidea,1,1,100,100.00
ENSG00000164404,H.sap-C.pal orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-P.anu orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-C.sab orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-C.aty orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-M.leu orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,Hsap-Ptep orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-M.mul orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-M.nem orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-R.bie orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-M.fas orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-R.rox orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,Hsap-Tgel orthologues,ortholog_one2one,Catarrhini,1,1,100,100.00
ENSG00000164404,H.sap-C.cap orthologues,ortholog_one2many,Simiiformes,1,1,100,100.00
ENSG00000164404,H.sap-S.bol orthologues,ortholog_one2one,Simiiformes,1,1,100,100.00
ENSG00000164404,H.sap-A.nan orthologues,ortholog_one2one,Simiiformes,1,1,100,100.00
ENSG00000164404,H.sap-C.jac orthologues,ortholog_one2one,Simiiformes,1,1,100,100.00
ENSG00000164404,H.sap-C.syr orthologues,ortholog_one2one,Haplorrhini,1,1,100,100.00
ENSG00000164404,O.gar-H.sap orthologues,ortholog_one2one,Primates,1,1,100,100.00
ENSG00000164404,H.sap-P.coq orthologues,ortholog_one2one,Primates,1,1,100,100.00
ENSG00000164404,H.sap-M.mur orthologues,ortholog_one2one,Primates,1,1,100,100.00
ENSG00000164404,Hsap-Psim orthologues,ortholog_one2one,Primates,1,1,100,100.00
ENSG00000164404,R.nor-H.sap orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Cgpi-Hsap orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-H.mal orthologues,ortholog_one2one,Euarchontoglires,1,1,50,100.00
ENSG00000164404,H.sap-H.fem orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-C.cho orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-M.aur orthologues,ortholog_one2one,Euarchontoglires,1,1,100,82.19
ENSG00000164404,H.sap-C.cri orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Hsap-Mspi orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-N.gal orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-C.por orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-I.tri orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-J.jac orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-M.och orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-F.dam orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-D.ord orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-M.mus orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,O.cun-H.sap orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-M.spr orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-M.car orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-M.pah orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Hsap-Upar orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Hsap-Mung orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Ccan-Hsap orthologues,ortholog_one2one,Euarchontoglires,1,1,50,100.00
ENSG00000164404,Hsap-Sdau orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Hsap-Mmma orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,Hsap-Pmba orthologues,ortholog_one2one,Euarchontoglires,1,1,100,100.00
ENSG00000164404,H.sap-T.bel orthologues,ortholog_one2one,Euarchontoglires,1,1,50,87.67
ENSG00000164404,M.fur-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,A.mel-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,Hsap-Nvis orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,H.sap-E.eur orthologues,ortholog_one2one,Boreoeutheria,1,1,50,100.00
ENSG00000164404,H.sap-S.scr orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,Hsap-Vvul orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,P.vam-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,98.56
ENSG00000164404,Cldi-Hsap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,V.pac-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,25,100.00
ENSG00000164404,H.sap-P.par orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,Hsap-Uame orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,Eaas-Hsap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,Hsap-Umar orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,F.cat-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,H.sap-P.alt orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,H.sap-C.hir orthologues,ortholog_one2one,Boreoeutheria,1,1,75,100.00
ENSG00000164404,M.luc-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,Ecab-Hsap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,H.sap-C.fam orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,O.ari-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,H.sap-T.tru orthologues,ortholog_one2one,Boreoeutheria,1,1,100,100.00
ENSG00000164404,S.ara-H.sap orthologues,ortholog_one2one,Boreoeutheria,1,1,25,97.31
ENSG00000164404,Btau-Hsap orthologues,ortholog_one2one,Boreoeutheria,1,1,75,100.00
ENSG00000164404,Bmut-Hsap orthologues,ortholog_one2one,Boreoeutheria,1,1,75,100.00
ENSG00000164404,Bbbi-Hsap orthologues,ortholog_one2one,Boreoeutheria,1,1,75,100.00
