Family_id,Total_members,Quarter,Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID
1,34,8.5,ENSG00000135404,CD63,796,SSD,68.15,2058,Unknown,Bilateria,1
1,34,8.5,ENSG00000117472,TSPAN1,615,SSD,72.2,724,Unknown,Bilateria,1
1,34,8.5,ENSG00000099282,TSPAN15,615,SSD,39.09,346,Unknown,Bilateria,1
1,34,8.5,ENSG00000010278,CD9,615,Ohnolog,23.69,1994,Unknown,Bilateria,1
1,34,8.5,ENSG00000106025,TSPAN12,615,SSD,16.62,452,Dominant,Bilateria,1
1,34,8.5,ENSG00000000003,TSPAN6,615,Ohnolog,45.94,834,Unknown,Bilateria,1
1,34,8.5,ENSG00000048140,TSPAN17,615,Ohnolog,52.11,446,None,Bilateria,1
1,34,8.5,ENSG00000135452,TSPAN31,615,Ohnolog,41.84,614,Unknown,Bilateria,1
10,7,1.75,ENSG00000164303,ENPP6,615,SSD,52.25,684,Unknown,Opisthokonta,10
100,26,6.5,ENSG00000081985,IL12RB2,435,SSD,78.11,1082,Unknown,Vertebrata,100
100,26,6.5,ENSG00000122756,CNTFR,435,SSD,12.62,1496,Unknown,Vertebrata,100
100,26,6.5,ENSG00000112964,GHR,435,SSD,6.7,1154,Both,Vertebrata,100
100,26,6.5,ENSG00000119535,CSF3R,435,SSD,71.67,1744,Recessive,Vertebrata,100
100,26,6.5,ENSG00000116678,LEPR,435,SSD,18.82,1976,Recessive,Vertebrata,100
100,26,6.5,ENSG00000105246,EBI3,435,SSD,88.47,254,Unknown,Vertebrata,100
1002,15,3.75,ENSG00000175161,CADM2,615,SSD,1.47,2124,Unknown,Bilateria,1002
1002,15,3.75,ENSG00000105767,CADM4,435,SSD,39.69,1122,Unknown,Bilateria,1002
1002,15,3.75,ENSG00000162706,CADM3,435,SSD,38.55,1966,Unknown,Bilateria,1002
1005,17,4.25,ENSG00000155016,CYP2U1,615,SSD,64.57,892,Recessive,LECA,1005
1005,17,4.25,ENSG00000186104,CYP2R1,435,SSD,20.4,602,Recessive,LECA,1005
1005,17,4.25,ENSG00000197446,CYP2F1,311,SSD,84.82,776,Unknown,LECA,1005
1005,17,4.25,ENSG00000073067,CYP2W1,311,SSD,85.41,484,Unknown,LECA,1005
1006,10,2.5,ENSG00000100297,MCM5,796,SSD,15.9,3696,Recessive,LECA,1006
1006,10,2.5,ENSG00000104738,MCM4,796,SSD,13.9,3306,Recessive,LECA,1006
101,12,3,ENSG00000021762,OSBPL5,796,Ohnolog,75.98,970,Unknown,LECA,101
101,12,3,ENSG00000117859,OSBPL9,796,SSD,19.62,470,Unknown,LECA,101
101,12,3,ENSG00000144909,OSBPL11,615,Ohnolog,46.4,808,Unknown,LECA,101
1010,5,1.25,ENSG00000103319,EEF2K,796,SSD,39.58,926,Unknown,LECA,1010
1011,4,1,ENSG00000145087,STXBP5L,796,Ohnolog,20.27,1994,Unknown,LECA,1011
1016,6,1.5,ENSG00000204311,PJVK,615,SSD,NA,0,Recessive,Gnathostomata,1016
10195,4,1,ENSG00000268629,TEX13A,73,SSD,95.53,908,Unknown,Opisthokonta,10195
102,5,1.25,ENSG00000006047,YBX2,796,Ohnolog,36.72,1254,Unknown,LECA,102
1025,13,3.25,ENSG00000165119,HNRNPK,796,SSD,2.97,3116,Dominant,LECA,1025
1025,13,3.25,ENSG00000183570,PCBP3,615,Ohnolog,34.15,1042,Unknown,LECA,1025
1025,13,3.25,ENSG00000162613,FUBP1,615,Ohnolog,7.23,2178,Unknown,LECA,1025
1028,17,4.25,ENSG00000164458,TBXT,615,Ohnolog,NA,1088,Both,Bilateria,1028
1028,17,4.25,ENSG00000089225,TBX5,615,Ohnolog,1.67,1890,Dominant,Bilateria,1028
1028,17,4.25,ENSG00000135111,TBX3,615,Ohnolog,3.05,2182,Dominant,Bilateria,1028
1028,17,4.25,ENSG00000136535,TBR1,615,Ohnolog,2.97,2182,Dominant,Bilateria,1028
10283,48,12,ENSG00000221852,KRTAP1-5,158,SSD,NA,396,Unknown,Euteleostomi,10283
