Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID
ENSG00000000003,TSPAN6,615,Ohnolog,45.94,834,Unknown,Bilateria,1
ENSG00000000005,TNMD,615,SSD,11.05,550,Unknown,Gnathostomata,2
ENSG00000000419,DPM1,796,SSD,19.24,2212,Recessive,Opisthokonta,3
ENSG00000000457,SCYL3,435,SSD,64.57,460,Unknown,LECA,4
ENSG00000000460,C1orf112,351,Singleton,NA,554,None,Singleton,0
ENSG00000000938,FGR,615,Ohnolog,5.28,3118,Unknown,LECA,5
ENSG00000000971,CFH,29,SSD,73.44,1868,Both,LECA,6
ENSG00000001036,FUCA2,796,Ohnolog,64.33,938,Unknown,Vertebrata,7
ENSG00000001084,GCLC,796,Singleton,32.92,0,Recessive,Singleton,0
ENSG00000001167,NFYA,615,Singleton,8.82,1670,Unknown,Singleton,0
ENSG00000001460,STPG1,351,SSD,72.54,188,Unknown,LECA,8
ENSG00000001461,NIPAL3,435,Ohnolog,51.92,360,None,LECA,9
ENSG00000001497,LAS1L,435,Singleton,62.91,942,Recessive,Singleton,0
ENSG00000001561,ENPP4,615,SSD,44.16,594,Unknown,Opisthokonta,10
ENSG00000001617,SEMA3F,615,SSD,14.85,1282,Unknown,LECA,11
ENSG00000001626,CFTR,435,SSD,2.33,4048,Both,LECA,12
ENSG00000001629,ANKIB1,413,SSD,18.4,618,None,LECA,13
ENSG00000001630,CYP51A1,615,Singleton,38.78,1312,Unknown,Singleton,0
ENSG00000001631,KRIT1,615,SSD,5.49,832,Dominant,Bilateria,14
ENSG00000002016,RAD52,435,Singleton,53.56,2050,Unknown,Singleton,0
ENSG00000002330,BAD,105,Singleton,23.36,632,Unknown,Singleton,0
ENSG00000002549,LAP3,796,SSD,46.69,1900,Unknown,LECA,15
ENSG00000002586,CD99,435,SSD,88.33,648,Unknown,Euteleostomi,16
ENSG00000002587,HS3ST1,615,SSD,56.45,544,Unknown,LECA,17
ENSG00000002726,AOC1,311,SSD,75.29,866,Unknown,Gnathostomata,18
ENSG00000002745,WNT16,413,SSD,23.7,1692,Unknown,Bilateria,19
ENSG00000002746,HECW1,435,Ohnolog,28.13,1834,Unknown,LECA,20
ENSG00000002822,MAD1L1,105,Singleton,45.25,2034,Unknown,Singleton,0
ENSG00000002834,LASP1,796,Ohnolog,32.25,1424,Unknown,LECA,21
ENSG00000002919,SNX11,435,SSD,36.3,586,Unknown,LECA,22
ENSG00000002933,TMEM176A,105,SSD,96.37,506,Unknown,Mammalia,23
ENSG00000003056,M6PR,615,Singleton,36.63,1072,Unknown,Singleton,0
ENSG00000003096,KLHL13,615,Ohnolog,22.8,0,Unknown,LECA,24
ENSG00000003137,CYP26B1,615,Ohnolog,20.72,1304,Unknown,LECA,25
ENSG00000003147,ICA1,796,Ohnolog,36.19,972,Unknown,Vertebrata,26
ENSG00000003249,DBNDD1,435,SSD,77.06,356,None,Bilateria,27
ENSG00000003393,ALS2,105,SSD,15.08,1982,Recessive,LECA,28
ENSG00000003400,CASP10,413,SSD,89.09,1182,Dominant,Bilateria,29
ENSG00000003402,CFLAR,158,SSD,63.87,2346,Unknown,Bilateria,29
ENSG00000003436,TFPI,435,SSD,77.56,1480,Unknown,Bilateria,31
ENSG00000003509,NDUFAF7,796,Singleton,46.54,570,Unknown,Singleton,0
ENSG00000003756,RBM5,615,Ohnolog,20.16,1746,Unknown,LECA,32
ENSG00000003987,MTMR7,413,Ohnolog,47.65,762,Unknown,LECA,33
ENSG00000003989,SLC7A2,435,Ohnolog,63.7,968,Unknown,Opisthokonta,34
ENSG00000004059,ARF5,796,Ohnolog,28.62,3324,Unknown,LECA,35
ENSG00000004139,SARM1,796,Singleton,24.19,872,Unknown,Singleton,0
ENSG00000004142,POLDIP2,796,SSD,22.01,602,Unknown,LECA,36
ENSG00000004399,PLXND1,796,Ohnolog,49.29,1276,Unknown,LECA,37
ENSG00000004455,AK2,796,SSD,15.01,2200,Recessive,LECA,38
ENSG00000004468,CD38,435,SSD,77.57,1996,Unknown,Euteleostomi,39
ENSG00000004478,FKBP4,615,SSD,38.11,3166,Unknown,LECA,40
ENSG00000004487,KDM1A,796,SSD,5.57,3624,Dominant,LECA,41
ENSG00000004534,RBM6,351,Ohnolog,22.35,786,Unknown,LECA,32
ENSG00000004660,CAMKK1,796,Ohnolog,49.01,1462,None,LECA,43
ENSG00000004700,RECQL,796,SSD,25.01,1822,Unknown,LECA,44
ENSG00000004766,VPS50,796,Singleton,NA,608,Unknown,Singleton,0
ENSG00000004776,HSPB6,435,Ohnolog,61.69,1134,Unknown,Bilateria,45
ENSG00000004777,ARHGAP33,615,Ohnolog,56.5,706,Unknown,LECA,46
