Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID,node_type,virus_class,pet_vip,Introgressed_Status,POP
ENSG00000000003,TSPAN6,615,Ohnolog,45.94,834,Unknown,Bilateria,1,redundant,4,Not,HSS,HSS
ENSG00000000005,TNMD,615,SSD,11.05,550,Unknown,Gnathostomata,2,redundant,4,Not,HSS,HSS
ENSG00000000419,DPM1,796,SSD,19.24,2212,Recessive,Opisthokonta,3,redundant,2,VIP,HSS,HSS
ENSG00000000457,SCYL3,435,SSD,64.57,460,Unknown,LECA,4,redundant,2,Not,HSS,HSS
ENSG00000000460,C1orf112,351,Singleton,NA,554,None,Singleton,0,redundant,3,Not,HSS,HSS
ENSG00000000938,FGR,615,Ohnolog,5.28,3118,Unknown,LECA,5,redundant,2,Not,HSS,HSS
ENSG00000000971,CFH,29,SSD,73.44,1868,Both,LECA,6,redundant,4,VIP,HSS,HSS
ENSG00000001036,FUCA2,796,Ohnolog,64.33,938,Unknown,Vertebrata,7,intermittent,1,Not,HSS,HSS
ENSG00000001084,GCLC,796,Singleton,32.92,0,Recessive,Singleton,0,redundant,1,Not,Intermediate,HSS
ENSG00000001167,NFYA,615,Singleton,8.82,1670,Unknown,Singleton,0,redundant,4,Not,HSS,HSS
ENSG00000001461,NIPAL3,435,Ohnolog,51.92,360,None,LECA,9,intermittent,2,Not,HSS,HSS
ENSG00000001497,LAS1L,435,Singleton,62.91,942,Recessive,Singleton,0,redundant,4,VIP,HSS,HSS
ENSG00000001561,ENPP4,615,SSD,44.16,594,Unknown,Opisthokonta,10,redundant,4,Not,HSS,HSS
ENSG00000001617,SEMA3F,615,SSD,14.85,1282,Unknown,LECA,11,intermittent,4,Not,Strict,ASN
ENSG00000001626,CFTR,435,SSD,2.33,4048,Both,LECA,12,redundant,1,Not,HSS,HSS
ENSG00000001629,ANKIB1,413,SSD,18.4,618,None,LECA,13,intermittent,4,Not,HSS,HSS
ENSG00000001630,CYP51A1,615,Singleton,38.78,1312,Unknown,Singleton,0,intermittent,4,Not,HSS,HSS
ENSG00000001631,KRIT1,615,SSD,5.49,832,Dominant,Bilateria,14,redundant,1,Not,HSS,HSS
ENSG00000002016,RAD52,435,Singleton,53.56,2050,Unknown,Singleton,0,redundant,1,VIP,HSS,HSS
ENSG00000002330,BAD,105,Singleton,23.36,632,Unknown,Singleton,0,redundant,1,VIP,HSS,HSS
ENSG00000002549,LAP3,796,SSD,46.69,1900,Unknown,LECA,15,redundant,4,VIP,HSS,HSS
ENSG00000002586,CD99,435,SSD,88.33,648,Unknown,Euteleostomi,16,redundant,1,Not,HSS,HSS
ENSG00000002587,HS3ST1,615,SSD,56.45,544,Unknown,LECA,17,redundant,4,Not,HSS,HSS
ENSG00000002726,AOC1,311,SSD,75.29,866,Unknown,Gnathostomata,18,redundant,1,VIP,HSS,HSS
ENSG00000002745,WNT16,413,SSD,23.7,1692,Unknown,Bilateria,19,redundant,3,Not,HSS,HSS
ENSG00000002746,HECW1,435,Ohnolog,28.13,1834,Unknown,LECA,20,redundant,1,Not,Strict,EUR
ENSG00000002822,MAD1L1,105,Singleton,45.25,2034,Unknown,Singleton,0,redundant,3,VIP,HSS,HSS
ENSG00000002834,LASP1,796,Ohnolog,32.25,1424,Unknown,LECA,21,critical,3,VIP,HSS,HSS
ENSG00000002919,SNX11,435,SSD,36.3,586,Unknown,LECA,22,redundant,2,Not,HSS,HSS
ENSG00000002933,TMEM176A,105,SSD,96.37,506,Unknown,Mammalia,23,redundant,4,Not,HSS,HSS
ENSG00000003056,M6PR,615,Singleton,36.63,1072,Unknown,Singleton,0,redundant,1,VIP,HSS,HSS
ENSG00000003096,KLHL13,615,Ohnolog,22.8,0,Unknown,LECA,24,intermittent,4,Not,HSS,HSS
ENSG00000003137,CYP26B1,615,Ohnolog,20.72,1304,Unknown,LECA,25,redundant,2,Not,HSS,HSS
ENSG00000003147,ICA1,796,Ohnolog,36.19,972,Unknown,Vertebrata,26,redundant,3,Not,HSS,HSS
ENSG00000003393,ALS2,105,SSD,15.08,1982,Recessive,LECA,28,redundant,4,Not,HSS,HSS
ENSG00000003400,CASP10,413,SSD,89.09,1182,Dominant,Bilateria,29,redundant,4,VIP,HSS,HSS
ENSG00000003402,CFLAR,158,SSD,63.87,2346,Unknown,Bilateria,29,intermittent,4,VIP,HSS,HSS
ENSG00000003436,TFPI,435,SSD,77.56,1480,Unknown,Bilateria,31,critical,4,Not,HSS,HSS
ENSG00000003509,NDUFAF7,796,Singleton,46.54,570,Unknown,Singleton,0,redundant,3,Not,HSS,HSS
ENSG00000003756,RBM5,615,Ohnolog,20.16,1746,Unknown,LECA,32,redundant,1,VIP,HSS,HSS
ENSG00000003987,MTMR7,413,Ohnolog,47.65,762,Unknown,LECA,33,redundant,2,Not,Intermediate,HSS
ENSG00000003989,SLC7A2,435,Ohnolog,63.7,968,Unknown,Opisthokonta,34,redundant,4,Not,HSS,HSS
ENSG00000004059,ARF5,796,Ohnolog,28.62,3324,Unknown,LECA,35,redundant,2,VIP,HSS,HSS
